category,sequence,frames_analyzed,groups_analyzed,cue,label,coverage,top_disagreement_share,top_disagreement_enrichment,top_excess_share,top_excess_enrichment,excess_mass_share,mean_excess_enrichment
hydrant,411_56064_108483,179,30,high_depth_gradient,High GT depth gradient,0.054072434606077545,0.06987544366134078,1.2922562886318982,0.0779636187960463,1.4418366652808985,0.05278020689570105,0.9761019136683878
hydrant,411_56064_108483,179,30,smooth_flat,Smooth/flat interior,0.05514653297337787,0.03425396714081451,0.6211445270249483,0.03868765852005096,0.7015428973336824,0.05344957570777199,0.9692282148285715
remote,195_20989_41543,200,34,object_boundary,Object boundary,0.05493484793898879,0.13423296244011426,2.443493838177085,0.10389826928848526,1.8912998431137145,0.05727738611674626,1.0426421163549795
remote,195_20989_41543,200,34,rgb_edge,RGB edge,0.10003313570516784,0.09523915387437057,0.9520760616269515,0.09884804493699262,0.988153017899308,0.10072538441170671,1.0069201940103045
remote,195_20989_41543,200,34,corner,Harris corner,0.054918910183706725,0.04995757515126589,0.9096607158473302,0.053859179144018464,0.9807037132356887,0.05676798265488202,1.0336691399190197
remote,195_20989_41543,200,34,low_texture,Low texture,0.20003143073599813,0.22283234959557446,1.1139866808715129,0.17999251544153339,0.8998211669999394,0.19001386694700267,0.9499200513032542
remote,195_20989_41543,200,34,high_texture,High texture,0.20002957750863976,0.19499127419050055,0.9748122083699268,0.18386447761857652,0.9191864518667744,0.1992627646342596,0.9961665025546182
remote,195_20989_41543,200,34,thin_structure,Thin/protrusion heuristic,8.154200376872316e-06,0.0,0.0,2.964181570942128e-05,3.635159100761626,4.3474303951336155e-06,0.533152264379496
remote,195_20989_41543,200,34,high_depth_gradient,High GT depth gradient,0.056351825577206194,0.07005472620225352,1.2431669335410143,0.07545694711529555,1.3390328767949835,0.05845057676181374,1.037243712392815
remote,195_20989_41543,200,34,smooth_flat,Smooth/flat interior,0.03591480491446244,0.028018926299330466,0.7801497562373672,0.0262552382646199,0.7310422074448537,0.03796489454128371,1.0570820204008882
book,247_26469_51778,202,34,object_boundary,Object boundary,0.05744577941465101,0.14168739556792148,2.46645440294584,0.11680515336866698,2.033311316494679,0.06203969536446955,1.079969599100729
book,247_26469_51778,202,34,rgb_edge,RGB edge,0.10003490477953453,0.14384975389942767,1.4379956097969608,0.146276736502272,1.4622569674520025,0.1044401024829479,1.044036606153841
book,247_26469_51778,202,34,corner,Harris corner,0.0720524653249567,0.13832288697519338,1.9197523131423333,0.11625700309232363,1.613504861603339,0.07459178780801802,1.0352426870004934
book,247_26469_51778,202,34,low_texture,Low texture,0.20004825406141502,0.14589492148219835,0.7292986493019252,0.10823510732404376,0.5410449985272827,0.19328837091321943,0.9662087370874016
book,247_26469_51778,202,34,high_texture,High texture,0.2000316147298926,0.2715196237798931,1.357383552327628,0.2862289529195618,1.4309185740767203,0.2079555012958682,1.0396131710313663
book,247_26469_51778,202,34,thin_structure,Thin/protrusion heuristic,0.00035358579485141267,0.0009110635627499755,2.57664073618351,0.0010395953516856567,2.940150217636785,0.0003922830106555932,1.1094422241154862
book,247_26469_51778,202,34,high_depth_gradient,High GT depth gradient,0.0346377938969201,0.04685361741378919,1.3526732549198317,0.041738808283495764,1.2050076978836421,0.03434695673448144,0.9916034732666816
book,247_26469_51778,202,34,smooth_flat,Smooth/flat interior,0.03593603992229432,0.017559710576654092,0.4886378859391305,0.01654279730536885,0.46034001913232186,0.03833852637913695,1.066854513241793
cake,403_53094_103680,202,34,object_boundary,Object boundary,0.02740092543045107,0.08304351043362439,3.030682691517304,0.05965110256030783,2.176974011761539,0.028838427867468243,1.052461820702583
cake,403_53094_103680,202,34,rgb_edge,RGB edge,0.10009017299513213,0.15623612549948201,1.5609536962942459,0.14378607370134674,1.4365653430166392,0.1028143627915305,1.0272173552595503
cake,403_53094_103680,202,34,corner,Harris corner,0.09560189085549546,0.1155560899807607,1.208721804000995,0.11924670711854374,1.2473258222349177,0.09658815193640749,1.010316334458309
cake,403_53094_103680,202,34,low_texture,Low texture,0.2000822111084983,0.2216497706082581,1.1077934883879526,0.22875351487346454,1.1432976155457353,0.20569569426367365,1.0280558832495674
cake,403_53094_103680,202,34,high_texture,High texture,0.20007665630387003,0.36254994820186476,1.8120552137338575,0.31777231019683294,1.5882528030367047,0.20812388676642563,1.0402207364478029
cake,403_53094_103680,202,34,thin_structure,Thin/protrusion heuristic,0.0,0.0,nan,0.0,nan,0.0,nan
cake,403_53094_103680,202,34,high_depth_gradient,High GT depth gradient,0.0033319569761865527,0.003773864140890928,1.132626912010773,0.0037831138079029154,1.1354029583637406,0.0033411328158551913,1.002753889001034
cake,403_53094_103680,202,34,smooth_flat,Smooth/flat interior,0.0033486213900713424,0.0029691431108480096,0.8866762661349279,0.002423412757140743,0.7237046159730564,0.0032050266959124996,0.9571182652704182
plant,247_26441_50907,198,33,object_boundary,Object boundary,0.03802381196461464,0.09015625724486484,2.371047314476655,0.0628135577502666,1.6519531973470087,0.05780316813147912,1.5201834099450984
plant,247_26441_50907,198,33,rgb_edge,RGB edge,0.10004142300307958,0.0971855149070339,0.9714527441702047,0.09236796958315946,0.9232972383881034,0.09519421703228306,0.9515480105611122
plant,247_26441_50907,198,33,corner,Harris corner,0.09739508221283259,0.0814253257291232,0.8360311822643007,0.08087819353642138,0.8304135249835543,0.09065645522321501,0.9308114245964493
plant,247_26441_50907,198,33,low_texture,Low texture,0.20003877898160644,0.18734640886539622,0.9365504519632302,0.19598924282468586,0.979756244376532,0.2001807771741128,1.0007098533255867
plant,247_26441_50907,198,33,high_texture,High texture,0.20003785125477375,0.18991051142949877,0.9493728823732639,0.17943617563870728,0.8970111132126309,0.18894245289883113,0.9445335056023412
plant,247_26441_50907,198,33,thin_structure,Thin/protrusion heuristic,0.00025002238140983863,0.0002967496638382714,1.186892398052305,0.0002967496638382714,1.186892398052305,0.00018354705191574687,0.7341224848781642
plant,247_26441_50907,198,33,high_depth_gradient,High GT depth gradient,0.008346758313708045,0.009375434691890389,1.1232426218083886,0.009639727361246348,1.1549067313252421,0.00968249563034695,1.1600306689658424
plant,247_26441_50907,198,33,smooth_flat,Smooth/flat interior,0.005222174341209579,0.004112764872258543,0.7875579411057979,0.0047711781888997076,0.9136382428386314,0.00658417518162886,1.260811062869228
suitcase,410_55734_107452,202,34,object_boundary,Object boundary,0.08039598353443372,0.23579489372902546,2.932918827070934,0.16749193919852604,2.0833371498812374,0.11871143909253735,1.476584200772829
suitcase,410_55734_107452,202,34,rgb_edge,RGB edge,0.10007087008878927,0.10481509508455616,1.0474086514043248,0.09262518918207541,0.9255959211695913,0.10926649497410913,1.0918911255309454
suitcase,410_55734_107452,202,34,corner,Harris corner,0.055374150443781744,0.04558465486609199,0.8232118145518372,0.03985984075804435,0.7198275808946595,0.05030518595890456,0.9084597335714718
suitcase,410_55734_107452,202,34,low_texture,Low texture,0.20006765994539463,0.22577646903994208,1.128500573763717,0.3242251760215832,1.6205776391350577,0.23269494311626726,1.1630812455135313
suitcase,410_55734_107452,202,34,high_texture,High texture,0.20006765994539463,0.257081989866421,1.2849752425583802,0.209901625320787,1.0491531983633755,0.20334690240124187,1.0163906673209564
suitcase,410_55734_107452,202,34,thin_structure,Thin/protrusion heuristic,4.115568454661663e-06,0.0,0.0,8.22530762650523e-06,1.9985836020267156,9.258642901254776e-07,0.22496632004183054
suitcase,410_55734_107452,202,34,high_depth_gradient,High GT depth gradient,0.028566160643806605,0.042730473119694676,1.4958423588141172,0.03309863788905705,1.1586659580111662,0.024933928100247183,0.8728484170886674
suitcase,410_55734_107452,202,34,smooth_flat,Smooth/flat interior,0.01226192465381896,0.010174705533986972,0.8297804644247324,0.015356649338685267,1.2523849046733835,0.012520013701003856,1.0210480046543522
mouse,377_43416_86289,201,34,object_boundary,Object boundary,0.07065556586864678,0.17178919869915232,2.4313611615328288,0.11335101562083488,1.6042758164524742,0.07812717503351027,1.1057469298137628
mouse,377_43416_86289,201,34,rgb_edge,RGB edge,0.10005721098450902,0.07276616729754225,0.7272456086029421,0.0710134882977022,0.7097288401202447,0.0984463653852191,0.9839007545439247
mouse,377_43416_86289,201,34,corner,Harris corner,0.06187921414244869,0.032381244335448096,0.5232976013707129,0.03647305006131044,0.5894232912743183,0.06361127835102554,1.0279910505099428
mouse,377_43416_86289,201,34,low_texture,Low texture,0.2000530768574233,0.2349856053739937,1.1746163021599845,0.2615956709495122,1.307631329939254,0.20416814088284546,1.0205698612091578
mouse,377_43416_86289,201,34,high_texture,High texture,0.2000530768574233,0.18890947379644932,0.9442967674577885,0.17702057898384604,0.8848680648386509,0.19497196083945062,0.9746011603630873
