auc_top10_eQ,auc_top10_excess,category,delta_error_median,disagreement_median,excess_error_median,fraction_quant_worse,frame,full_error_median,group_id,n,quant_error_median,rho_d_delta,rho_d_eQ,rho_d_excess,sampled_pixels,scene_radius,sequence,top10_precision_eQ,top10_precision_excess,top10_quant_worse_fraction,valid_pixels
0.5465626666666666,0.9549804444444444,toytruck,0.03182954420716341,0.08623664953604082,0.03182954420716341,0.8466,69,0.07327848302616335,g0002,5000,0.11061414139643733,0.7442359638814385,0.5153091722603669,0.7441147032099832,5000,2.318862406694102,190_20494_39385,0.066,0.606,0.976,13429
0.7480831111111111,0.9774506666666667,toytruck,0.08667702461423064,0.09261293244870594,0.08667702461423064,0.999,107,0.14265126627411367,g0002,5000,0.22936538201162224,0.8894452555778102,0.6753787098631484,0.8894454149807504,5000,2.318862406694102,190_20494_39385,0.312,0.734,0.998,13331
0.7035288888888889,0.9481728888888888,toytruck,0.03173262678898067,0.04223058634284274,0.03173262678898067,0.9054,139,0.04788327511037559,g0002,5000,0.08057540406302045,0.5115868872154755,0.3787934921117397,0.5183064914668772,5000,2.318862406694102,190_20494_39385,0.348,0.522,0.644,10399
0.768344,0.9289853333333333,toytruck,0.022342762878341936,0.04534946273750311,0.022342762878341936,0.701,173,0.04533807009246655,g0002,5000,0.06421210166754732,0.3898658701866348,0.27210923418036936,0.4040199621262381,5000,2.318862406694102,190_20494_39385,0.31,0.586,0.794,8203
0.6031715555555556,0.960584,toytruck,0.09095171386879469,0.10869466433724416,0.09095171386879469,0.9848,4,0.06838965790470318,g0003,5000,0.1584862229174363,0.6860597029303881,0.36590152833206113,0.6860779542266319,5000,2.318862406694102,190_20494_39385,0.34,0.632,0.994,5968
0.8269715555555556,0.9673337777777777,toytruck,0.053794756530408355,0.06731565996633687,0.053794756530408355,0.97,36,0.07385462699737523,g0003,5000,0.12490389598500488,0.5969319484532779,0.4488530768661231,0.5971115518985535,5000,2.318862406694102,190_20494_39385,0.534,0.622,0.848,9098
0.6334706666666666,0.7868204444444444,toytruck,0.03912029367729072,0.10733563628011905,0.03912029367729072,0.8296,70,0.08242093254180889,g0003,5000,0.13097797435295172,0.7298852615154104,0.5718734069069362,0.7333056439830742,5000,2.318862406694102,190_20494_39385,0.36,0.232,0.962,13026
0.612616,0.9865822222222222,toytruck,0.1303760194674834,0.14134506800894087,0.1303760194674834,0.9988,108,0.10921191973942865,g0003,5000,0.24383315478113082,0.8213749277029971,0.4542259593850384,0.8213759593849942,5000,2.318862406694102,190_20494_39385,0.13,0.78,1.0,13713
0.5814746666666667,0.8629782222222222,toytruck,0.018687474187053285,0.04564347427467254,0.018687474187053285,0.777,140,0.06459621521084793,g0003,5000,0.08586396522911552,0.2375206326688253,0.30358598337543935,0.2640094453689115,5000,2.318862406694102,190_20494_39385,0.164,0.272,0.578,11329
0.5276191111111111,0.9030364444444444,toytruck,0.038734348133692004,0.07811984388215121,0.038734348133692004,0.7648,174,0.05081315116149676,g0003,5000,0.08757768772907659,0.2771808795352352,0.13987807269912292,0.2888657769748412,5000,2.318862406694102,190_20494_39385,0.26,0.534,0.888,8339
0.5938462222222223,0.958236,toytruck,0.07280641222846257,0.08998827576748053,0.07280641222846257,0.9744,5,0.059115239861465496,g0004,5000,0.13178429711787015,0.7700140648165625,0.4096106136644245,0.7700884905988193,5000,2.318862406694102,190_20494_39385,0.206,0.6,0.994,6077
0.7424088888888889,0.9538271111111111,toytruck,0.04806171282587736,0.06088106499109189,0.04806171282587736,0.961,37,0.062415783375280545,g0004,5000,0.10813557064137158,0.693547925085917,0.32968296214731846,0.694171230734333,5000,2.318862406694102,190_20494_39385,0.24,0.544,0.886,9202
0.5698408888888888,0.8672146666666667,toytruck,0.0015368407477566043,0.08099273373440113,0.0015368407477566043,0.5146,71,0.08654858980597879,g0004,5000,0.09205557371985296,0.4050912265716491,0.2962938056117522,0.414922094037722,5000,2.318862406694102,190_20494_39385,0.274,0.526,0.668,14303
0.8319613333333333,0.971984,toytruck,0.07343634655130538,0.07888622628662315,0.07343634655130538,0.986,109,0.10801286874333349,g0004,5000,0.18098037571555842,0.8148439720817588,0.6167144496925779,0.8148694437122577,5000,2.318862406694102,190_20494_39385,0.324,0.696,0.998,12768
0.406584,0.5880346666666667,toytruck,-0.012170574212295445,0.04895603324681973,0.0,0.3094,141,0.07069215929136367,g0004,5000,0.05435240557362722,-0.38728452099538085,-0.06920905160036206,-0.08423426402105355,5000,2.318862406694102,190_20494_39385,0.012,0.086,0.154,11716
